s,POWERELECTRICALFRONT,POWERELECTRICALREAR,POWERELECTRICALTOTAL
3.62,0,16.969,16.969
3.63,0,16.969,16.969
3.64,0,16.571,16.571
3.65,0,16.571,16.571
3.66,0,16.132,16.132
3.67,0,16.132,16.132
3.68,0,15.765,15.765
3.69,0,15.765,15.765
3.7,0,15.408,15.408
3.71,0,15.408,15.408
3.72,0,14.971,14.971
3.73,0,14.971,14.971
3.74,0,14.257,14.257
3.75,0,14.257,14.257
3.76,0,13.914,13.914
3.77,0,13.914,13.914
3.78,0,13.628,13.628
3.79,0,13.628,13.628
3.8,0,13.311,13.311
3.81,0,13.311,13.311
3.82,0,13.046,13.046
3.83,0,13.046,13.046
3.84,0,12.753,12.753
3.85,0,12.753,12.753
3.86,0,12.236,12.236
3.87,0,12.236,12.236
3.88,0,11.947,11.947
3.89,0,11.947,11.947
3.9,0,11.703,11.703
3.91,0,11.703,11.703
3.92,0,11.494,11.494
3.93,0,11.494,11.494
3.94,0,11.263,11.263
3.95,0,11.263,11.263
3.96,0,11.069,11.069
3.97,0,11.069,11.069
3.98,0,10.855,10.855
3.99,0,10.855,10.855
4,0,10.478,10.478
4.01,0,10.478,10.478
4.02,0,10.265,10.265
4.03,0,10.265,10.265
4.04,0,10.064,10.064
4.05,0,10.064,10.064
4.06,0,9.893,9.893
4.07,0,9.893,9.893
4.08,0,9.726,9.726
4.09,0,9.726,9.726
4.1,0,9.566,9.566
4.11,0,9.566,9.566
4.12,0,9.411,9.411
4.13,0,9.411,9.411
4.14,0,9.411,9.411
4.15,0,9.411,9.411
4.16,0,9.129,9.129
4.17,0,9.129,9.129
4.18,0,8.972,8.972
4.19,0,8.972,8.972
4.2,0,8.828,8.828
4.21,0,8.828,8.828
4.22,0,8.689,8.689
4.23,0,8.689,8.689
4.24,0,8.569,8.569
4.25,0,8.569,8.569
4.26,0,8.452,8.452
4.27,0,8.452,8.452
4.28,0,8.328,8.328
4.29,0,8.328,8.328
4.3,0,8.117,8.117
4.31,0,8.117,8.117
4.32,0,8.006,8.006
4.33,0,8.006,8.006
4.34,0,7.901,7.901
4.35,0,7.901,7.901
4.36,0,7.901,7.901
4.37,0,7.901,7.901
4.38,0,7.705,7.705
4.39,0,7.705,7.705
4.4,0,7.62,7.62
4.41,0,7.62,7.62
4.42,0,7.539,7.539
4.43,0,7.539,7.539
4.44,0,7.46,7.46
4.45,0,7.46,7.46
4.46,0,7.361,7.361
4.47,0,7.361,7.361
4.48,0,7.361,7.361
4.49,0,7.361,7.361
4.5,0,7.27,7.27
4.51,0,7.27,7.27
4.52,0,7.19,7.19
4.53,0,7.19,7.19
4.54,0,7.119,7.119
4.55,0,7.119,7.119
4.56,0,7.05,7.05
4.57,0,7.05,7.05
4.58,0,6.931,6.931
4.59,0,6.931,6.931
4.6,0,6.869,6.869
4.61,0,6.869,6.869
4.62,0,6.816,6.816
4.63,0,6.816,6.816
4.64,0,6.759,6.759
4.65,0,6.759,6.759
4.66,0,6.705,6.705
4.67,0,6.705,6.705
4.68,0,6.652,6.652
4.69,0,6.652,6.652
4.7,0,6.603,6.603
4.71,0,6.603,6.603
4.72,0,6.558,6.558
4.73,0,6.558,6.558
4.74,0,6.515,6.515
4.75,0,6.515,6.515
4.76,0,6.47,6.47
4.77,0,6.47,6.47
4.78,0,6.431,6.431
4.79,0,6.431,6.431
4.8,0,6.392,6.392
4.81,0,6.392,6.392
4.82,0,6.352,6.352
4.83,0,6.352,6.352
4.84,0,6.312,6.312
4.85,0,6.312,6.312
4.86,0,6.278,6.278
4.87,0,6.278,6.278
4.88,0,6.245,6.245
4.89,0,6.245,6.245
4.9,0,6.213,6.213
4.91,0,6.213,6.213
4.92,0,6.18,6.18
4.93,0,6.18,6.18
4.94,0,6.151,6.151
4.95,0,6.151,6.151
4.96,0,6.094,6.094
4.97,0,6.094,6.094
4.98,0,6.066,6.066
4.99,0,6.066,6.066
5,0,6.041,6.041
5.01,0,6.041,6.041
5.02,0,6.016,6.016
5.03,0,6.016,6.016
5.04,0,5.992,5.992
5.05,0,5.992,5.992
5.06,0,5.969,5.969
5.07,0,5.969,5.969
5.08,0,5.947,5.947
5.09,0,5.947,5.947
5.1,0,5.925,5.925
5.11,0,5.925,5.925
5.12,0,5.904,5.904
5.13,0,5.904,5.904
5.14,0,5.884,5.884
5.15,0,5.884,5.884
5.16,0,5.863,5.863
5.17,0,5.863,5.863
5.18,0,5.845,5.845
5.19,0,5.845,5.845
5.2,0,5.826,5.826
5.21,0,5.826,5.826
5.22,0,5.809,5.809
5.23,0,5.809,5.809
5.24,0,5.776,5.776
5.25,0,5.776,5.776
5.26,0,5.76,5.76
5.27,0,5.76,5.76
5.28,0,5.745,5.745
5.29,0,5.745,5.745
5.3,0,5.73,5.73
5.31,0,5.73,5.73
5.32,0,5.716,5.716
5.33,0,5.716,5.716
5.34,0,5.703,5.703
5.35,0,5.703,5.703
5.36,0,5.689,5.689
5.37,0,5.689,5.689
5.38,0,5.676,5.676
5.39,0,5.676,5.676
5.4,0,5.664,5.664
5.41,0,5.664,5.664
5.42,0,5.653,5.653
5.43,0,5.653,5.653
5.44,0,5.641,5.641
5.45,0,5.641,5.641
5.46,0,5.63,5.63
5.47,0,5.63,5.63
5.48,0,5.619,5.619
5.49,0,5.619,5.619
5.5,0,5.598,5.598
5.51,0,5.598,5.598
5.52,0,5.598,5.598
5.53,0,5.598,5.598
5.54,0,5.592,5.592
5.55,0,5.592,5.592
5.56,0,5.584,5.584
5.57,0,5.584,5.584
5.58,0,5.574,5.574
5.59,0,5.574,5.574
5.6,0,5.566,5.566
5.61,0,5.566,5.566
5.62,0,5.557,5.557
5.63,0,5.557,5.557
5.64,0,5.548,5.548
5.65,0,5.548,5.548
5.66,0,5.54,5.54
5.67,0,5.54,5.54
5.68,0,5.523,5.523
5.69,0,5.523,5.523
5.7,0,5.516,5.516
5.71,0,5.516,5.516
5.72,0,5.508,5.508
5.73,0,5.508,5.508
5.74,0,5.501,5.501
5.75,0,5.501,5.501
5.76,0,5.494,5.494
5.77,0,5.494,5.494
5.78,0,5.488,5.488
5.79,0,5.488,5.488
5.8,0,5.481,5.481
5.81,0,5.481,5.481
5.82,0,5.475,5.475
5.83,0,5.475,5.475
5.84,0,5.462,5.462
5.85,0,5.462,5.462
5.86,0,5.456,5.456
5.87,0,5.456,5.456
5.88,0,5.449,5.449
5.89,0,5.449,5.449
5.9,0,5.444,5.444
5.91,0,5.444,5.444
5.92,0,5.44,5.44
5.93,0,5.44,5.44
5.94,0,5.435,5.435
5.95,0,5.435,5.435
5.96,0,5.43,5.43
5.97,0,5.43,5.43
5.98,0,5.425,5.425
5.99,0,5.425,5.425
6,0,5.415,5.415
6.01,0,5.415,5.415
6.02,0,5.41,5.41
6.03,0,5.41,5.41
6.04,0,5.405,5.405
6.05,0,5.405,5.405
6.06,0,5.401,5.401
6.07,0,5.401,5.401
6.08,0,5.398,5.398
6.09,0,5.398,5.398
6.1,0,5.394,5.394
6.11,0,5.394,5.394
6.12,0,5.39,5.39
6.13,0,5.39,5.39
6.14,0,5.386,5.386
6.15,0,5.386,5.386
6.16,0,5.383,5.383
6.17,0,5.383,5.383
6.18,0,5.374,5.374
6.19,0,5.374,5.374
6.2,0,5.371,5.371
6.21,0,5.371,5.371
6.22,0,5.366,5.366
6.23,0,5.366,5.366
6.24,0,5.365,5.365
6.25,0,5.365,5.365
6.26,0,5.361,5.361
6.27,0,5.361,5.361
6.28,0,5.358,5.358
6.29,0,5.358,5.358
6.3,0,5.354,5.354
6.31,0,5.354,5.354
6.32,0,5.347,5.347
6.33,0,5.347,5.347
6.34,0,5.344,5.344
6.35,0,5.344,5.344
6.36,0,5.34,5.34
6.37,0,5.34,5.34
6.38,0,5.338,5.338
6.39,0,5.338,5.338
6.4,0,5.337,5.337
6.41,0,5.337,5.337
6.42,0,5.334,5.334
6.43,0,5.334,5.334
6.44,0,5.332,5.332
6.45,0,5.332,5.332
6.46,0,5.329,5.329
6.47,0,5.329,5.329
6.48,0,5.325,5.325
6.49,0,5.325,5.325
6.5,0,5.321,5.321
6.51,0,5.321,5.321
6.52,0,5.319,5.319
6.53,0,5.319,5.319
6.54,0,5.317,5.317
6.55,0,5.317,5.317
6.56,0,5.315,5.315
6.57,0,5.315,5.315
6.58,0,5.314,5.314
6.59,0,5.314,5.314
6.6,0,5.312,5.312
6.61,0,5.312,5.312
6.62,0,5.308,5.308
6.63,0,5.308,5.308
6.64,0,5.304,5.304
6.65,0,5.304,5.304
6.66,0,5.302,5.302
6.67,0,5.302,5.302
6.68,0,5.301,5.301
6.69,0,5.301,5.301
6.7,0,5.299,5.299
6.71,0,5.299,5.299
6.72,0,5.298,5.298
6.73,0,5.298,5.298
6.74,0,5.298,5.298
6.75,0,5.298,5.298
6.76,0,5.299,5.299
6.77,0,5.299,5.299
6.78,0,5.297,5.297
6.79,0,5.297,5.297
6.8,0,5.295,5.295
6.81,0,5.295,5.295
6.82,0,5.291,5.291
6.83,0,5.291,5.291
6.84,0,5.29,5.29
6.85,0,5.29,5.29
6.86,0,5.288,5.288
6.87,0,5.288,5.288
6.88,0,5.286,5.286
6.89,0,5.286,5.286
6.9,0,5.294,5.294
6.91,0,5.294,5.294
6.92,0,5.294,5.294
6.93,0,5.294,5.294
6.94,0,5.292,5.292
6.95,0,5.292,5.292
6.96,0,5.29,5.29
6.97,0,5.29,5.29
6.98,0,5.288,5.288
6.99,0,5.288,5.288
7,0,5.284,5.284
7.01,0,5.284,5.284
7.02,0,5.282,5.282
7.03,0,5.282,5.282
7.04,0,5.279,5.279
7.05,0,5.279,5.279
7.06,0,5.277,5.277
7.07,0,5.277,5.277
7.08,0,5.275,5.275
7.09,0,5.275,5.275
7.1,0,5.273,5.273
7.11,0,5.273,5.273
7.12,0,5.27,5.27
7.13,0,5.27,5.27
7.14,0,5.269,5.269
7.15,0,5.269,5.269
7.16,0,5.267,5.267
7.17,0,5.267,5.267
7.18,0,5.265,5.265
7.19,0,5.265,5.265
7.2,0,5.264,5.264
7.21,0,5.264,5.264
7.22,0,5.262,5.262
7.23,0,5.262,5.262
7.24,0,5.26,5.26
7.25,0,5.26,5.26
7.26,0,5.257,5.257
7.27,0,5.257,5.257
7.28,0,5.256,5.256
7.29,0,5.256,5.256
7.3,0,5.253,5.253
7.31,0,5.253,5.253
7.32,0,5.251,5.251
7.33,0,5.251,5.251
7.34,0,5.247,5.247
7.35,0,5.247,5.247
7.36,0,5.247,5.247
7.37,0,5.247,5.247
7.38,0,5.247,5.247
7.39,0,5.247,5.247
7.4,0,5.244,5.244
7.41,0,5.244,5.244
7.42,0,5.243,5.243
7.43,0,5.243,5.243
7.44,0,5.241,5.241
7.45,0,5.241,5.241
7.46,0,5.24,5.24
7.47,0,5.24,5.24
7.48,0,5.239,5.239
7.49,0,5.239,5.239
7.5,0,5.237,5.237
7.51,0,5.237,5.237
7.52,0,5.239,5.239
7.53,0,5.239,5.239
7.54,0,5.237,5.237
7.55,0,5.237,5.237
7.56,0,5.237,5.237
7.57,0,5.237,5.237
7.58,0,5.233,5.233
7.59,0,5.233,5.233
7.6,0,5.23,5.23
7.61,0,5.23,5.23
7.62,0,5.229,5.229
7.63,0,5.229,5.229
7.64,0,5.228,5.228
7.65,0,5.228,5.228
7.66,0,5.227,5.227
7.67,0,5.227,5.227
7.68,0,5.225,5.225
7.69,0,5.225,5.225
7.7,0,5.225,5.225
7.71,0,5.225,5.225
7.72,0,5.225,5.225
7.73,0,5.225,5.225
7.74,0,5.223,5.223
7.75,0,5.223,5.223
7.76,0,5.219,5.219
7.77,0,5.219,5.219
7.78,0,5.218,5.218
7.79,0,5.218,5.218
7.8,0,5.216,5.216
7.81,0,5.216,5.216
7.82,0,5.214,5.214
7.83,0,5.214,5.214
7.84,0,5.213,5.213
7.85,0,5.213,5.213
7.86,0,5.212,5.212
7.87,0,5.212,5.212
7.88,0,5.212,5.212
7.89,0,5.212,5.212
7.9,0,5.208,5.208
7.91,0,5.208,5.208
7.92,0,5.207,5.207
7.93,0,5.207,5.207
7.94,0,5.204,5.204
7.95,0,5.204,5.204
7.96,0,5.204,5.204
7.97,0,5.204,5.204
7.98,0,5.202,5.202
7.99,0,5.202,5.202
8,0,5.201,5.201
8.01,0,5.201,5.201
8.02,0,5.2,5.2
8.03,0,5.2,5.2
8.04,0,5.201,5.201
8.05,0,5.201,5.201
8.06,0,5.199,5.199
8.07,0,5.199,5.199
8.08,0,5.196,5.196
8.09,0,5.196,5.196
8.1,0,5.195,5.195
8.11,0,5.195,5.195
8.12,0,5.194,5.194
8.13,0,5.194,5.194
8.14,0,5.191,5.191
8.15,0,5.191,5.191
8.16,0,5.191,5.191
8.17,0,5.191,5.191
8.18,0,5.191,5.191
8.19,0,5.191,5.191
8.2,0,5.19,5.19
8.21,0,5.19,5.19
8.22,0,5.19,5.19
8.23,0,5.19,5.19
8.24,0,5.2,5.2
8.25,0,5.2,5.2
8.26,0,5.199,5.199
8.27,0,5.199,5.199
8.28,0,5.197,5.197
8.29,0,5.197,5.197
8.3,0,5.196,5.196
8.31,0,5.196,5.196
8.32,0,5.194,5.194
8.33,0,5.194,5.194
8.34,0,5.194,5.194
8.35,0,5.194,5.194
8.36,0,5.194,5.194
8.37,0,5.194,5.194
8.38,0,5.192,5.192
8.39,0,5.192,5.192
8.4,0,5.189,5.189
8.41,0,5.189,5.189
8.42,0,5.188,5.188
8.43,0,5.188,5.188
8.44,0,5.184,5.184
8.45,0,5.184,5.184
8.46,0,5.182,5.182
8.47,0,5.182,5.182
8.48,0,5.181,5.181
8.49,0,5.181,5.181
8.5,0,5.181,5.181
8.51,0,5.181,5.181
8.52,0,5.179,5.179
8.53,0,5.179,5.179
8.54,0,5.181,5.181
8.55,0,5.181,5.181
8.56,0,5.18,5.18
8.57,0,5.18,5.18
8.58,0,5.179,5.179
8.59,0,5.179,5.179
8.6,0,5.176,5.176
8.61,0,5.176,5.176
8.62,0,5.175,5.175
8.63,0,5.175,5.175
8.64,0,5.174,5.174
8.65,0,5.174,5.174
8.66,0,5.171,5.171
8.67,0,5.171,5.171
8.68,0,5.171,5.171
8.69,0,5.171,5.171
8.7,0,5.17,5.17
8.71,0,5.17,5.17
8.72,0,5.168,5.168
8.73,0,5.168,5.168
8.74,0,5.166,5.166
8.75,0,5.166,5.166
8.76,0,5.165,5.165
8.77,0,5.165,5.165
8.78,0,5.164,5.164
8.79,0,5.164,5.164
8.8,0,5.161,5.161
8.81,0,5.161,5.161
8.82,0,5.16,5.16
8.83,0,5.16,5.16
8.84,0,5.159,5.159
8.85,0,5.159,5.159
8.86,0,5.158,5.158
8.87,0,5.158,5.158
8.88,0,5.157,5.157
8.89,0,5.157,5.157
8.9,0,5.155,5.155
8.91,0,5.155,5.155
8.92,0,5.153,5.153
8.93,0,5.153,5.153
8.94,0,5.152,5.152
8.95,0,5.152,5.152
8.96,0,5.15,5.15
8.97,0,5.15,5.15
8.98,0,5.149,5.149
8.99,0,5.149,5.149
9,0,5.148,5.148
9.01,0,5.148,5.148
9.02,0,5.147,5.147
9.03,0,5.147,5.147
9.04,0,5.146,5.146
9.05,0,5.146,5.146
9.06,0,5.145,5.145
9.07,0,5.145,5.145
9.08,0,5.144,5.144
9.09,0,5.144,5.144
9.1,0,5.141,5.141
9.11,0,5.141,5.141
9.12,0,5.14,5.14
9.13,0,5.14,5.14
9.14,0,5.139,5.139
9.15,0,5.139,5.139
9.16,0,5.14,5.14
9.17,0,5.14,5.14
9.18,0,5.14,5.14
9.19,0,5.14,5.14
9.2,0,5.14,5.14
9.21,0,5.14,5.14
9.22,0,5.138,5.138
9.23,0,5.138,5.138
9.24,0,5.135,5.135
9.25,0,5.135,5.135
9.26,0,5.134,5.134
9.27,0,5.134,5.134
9.28,0,5.133,5.133
9.29,0,5.133,5.133
9.3,0,5.132,5.132
9.31,0,5.132,5.132
9.32,0,5.131,5.131
9.33,0,5.131,5.131
9.34,0,5.131,5.131
